iter	Passed	Remaining
0	62	62794
1	63	31497
2	63	21050
3	63	15827
4	63	12693
5	64	10606
6	64	9114
7	64	7992
8	64	7119
9	64	6423
10	65	5855
11	65	5380
12	65	4977
13	65	4632
14	66	4334
15	66	4072
16	66	3841
17	66	3635
18	66	3451
19	67	3286
20	67	3136
21	67	2999
22	67	2875
23	68	2766
24	68	2661
25	68	2564
26	68	2474
27	68	2390
28	69	2312
29	69	2240
30	69	2172
31	69	2109
32	69	2048
33	70	1992
34	70	1939
35	70	1889
36	70	1842
37	71	1797
38	71	1755
39	71	1714
40	71	1676
41	71	1639
42	72	1604
43	72	1570
44	72	1537
45	72	1507
46	72	1477
47	73	1449
48	73	1422
49	73	1396
50	73	1371
51	73	1346
52	74	1323
53	74	1301
54	74	1279
55	74	1258
56	74	1239
57	75	1219
58	75	1200
59	75	1182
60	75	1165
61	75	1148
62	76	1131
63	76	1115
64	76	1100
65	76	1085
66	76	1071
67	77	1057
68	77	1043
69	77	1030
70	77	1017
71	77	1004
72	78	992
73	78	980
74	78	968
75	78	957
76	78	946
77	79	935
78	79	925
79	79	915
80	79	905
81	79	895
82	80	884
83	80	875
84	80	866
85	80	857
86	80	848
87	81	839
88	81	831
89	81	823
90	81	815
91	81	807
92	81	799
93	82	791
94	82	784
95	82	778
96	82	771
97	83	765
98	83	759
99	83	752
100	83	746
101	84	739
102	84	733
103	84	727
104	84	721
105	84	715
106	85	709
107	85	704
108	85	698
109	85	693
110	85	687
111	86	682
112	86	676
113	86	671
114	86	666
115	86	661
116	86	655
117	87	650
118	87	646
119	87	641
120	87	636
121	87	631
122	88	627
123	88	623
124	88	618
125	88	614
126	88	610
127	88	606
128	89	602
129	89	598
130	89	593
131	89	590
132	89	586
133	90	582
134	90	578
135	90	574
136	90	571
137	90	567
138	91	564
139	91	560
140	91	557
141	91	553
142	91	550
143	92	546
144	92	543
145	92	540
146	92	537
147	92	533
148	92	530
149	93	527
150	93	524
151	93	521
152	93	518
153	93	515
154	94	512
155	94	509
156	94	507
157	94	504
158	94	501
159	95	498
160	95	495
161	95	492
162	95	490
163	95	487
164	95	485
165	96	483
166	96	480
167	96	478
168	96	475
169	96	473
170	97	470
171	97	468
172	97	465
173	97	463
174	97	461
175	98	458
176	98	456
177	98	454
178	98	452
179	98	449
180	98	447
181	99	445
182	99	443
183	99	441
184	99	439
185	99	437
186	100	435
187	100	433
188	100	431
189	100	429
190	100	427
191	101	425
192	101	423
193	101	421
194	101	419
195	101	417
196	101	415
197	102	413
198	102	412
199	102	410
200	102	408
201	102	406
202	103	404
203	103	402
204	103	401
205	103	399
206	103	397
207	104	396
208	104	394
209	104	392
210	104	390
211	104	389
212	104	387
213	105	386
214	105	384
215	105	382
216	105	381
217	105	379
218	106	378
219	106	376
220	106	375
221	106	373
222	106	372
223	106	370
224	107	369
225	107	367
226	107	366
227	107	364
228	107	363
229	108	361
230	108	360
231	108	359
232	108	357
233	108	356
234	109	354
235	109	353
236	109	352
237	109	350
238	109	349
239	109	348
240	110	346
241	110	345
242	110	344
243	110	342
244	110	341
245	110	340
246	111	338
247	111	337
248	111	336
249	111	335
250	111	333
251	112	332
252	112	331
253	112	330
254	112	328
255	112	327
256	112	326
257	113	325
258	113	324
259	113	323
260	113	321
261	113	320
262	114	319
263	114	318
264	114	317
265	114	316
266	114	315
267	114	314
268	115	312
269	115	311
270	115	310
271	115	309
272	115	308
273	116	307
274	116	306
275	116	305
276	116	304
277	116	303
278	116	302
279	117	301
280	117	300
281	117	299
282	117	298
283	117	297
284	118	296
285	118	295
286	118	294
287	118	293
288	118	292
289	119	291
290	119	290
291	119	289
292	119	288
293	119	287
294	119	286
295	120	285
296	120	284
297	120	283
298	120	283
299	120	282
300	121	281
301	121	280
302	121	279
303	121	278
304	121	277
305	122	276
306	122	275
307	122	274
308	122	274
309	122	273
310	122	272
311	123	271
312	123	270
313	123	269
314	123	268
315	123	268
316	124	267
317	124	266
318	124	265
319	124	264
320	124	263
321	124	263
322	125	262
323	125	261
324	125	260
325	125	259
326	125	258
327	126	258
328	126	257
329	126	256
330	126	255
331	126	254
332	126	254
333	127	253
334	127	252
335	127	251
336	127	251
337	127	250
338	127	249
339	128	248
340	128	248
341	128	247
342	128	246
343	128	245
344	129	245
345	129	244
346	129	243
347	129	242
348	129	242
349	129	241
350	130	240
351	130	239
352	130	239
353	130	238
354	130	237
355	131	237
356	131	236
357	131	235
358	131	235
359	131	234
360	131	233
361	132	232
362	132	232
363	132	231
364	132	230
365	132	230
366	133	229
367	133	228
368	133	228
369	133	227
370	133	226
371	134	226
372	134	225
373	134	224
374	134	224
375	134	223
376	134	222
377	135	222
378	135	221
379	135	221
380	135	220
381	135	219
382	136	219
383	136	218
384	136	217
385	136	217
386	136	216
387	136	215
388	137	215
389	137	214
390	137	214
391	137	213
392	137	212
393	138	212
394	138	211
395	138	211
396	138	210
397	138	209
398	138	209
399	139	208
400	139	208
401	139	207
402	139	206
403	139	206
404	140	205
405	140	205
406	140	204
407	140	203
408	140	203
409	140	202
410	141	202
411	141	201
412	141	201
413	141	200
414	141	199
415	142	199
416	142	198
417	142	198
418	142	197
419	142	197
420	142	196
421	143	196
422	143	195
423	143	195
424	143	194
425	143	193
426	144	193
427	144	192
428	144	192
429	144	191
430	144	191
431	144	190
432	145	190
433	145	189
434	145	188
435	145	188
436	145	187
437	146	187
438	146	186
439	146	186
440	146	185
441	146	185
442	147	184
443	147	184
444	147	183
445	147	183
446	147	182
447	147	182
448	148	181
449	148	181
450	148	180
451	148	180
452	148	179
453	149	179
454	149	178
455	149	178
456	149	177
457	149	177
458	149	176
459	150	176
460	150	175
461	150	175
462	150	174
463	150	174
464	151	173
465	151	173
466	151	172
467	151	172
468	151	171
469	151	171
470	152	170
471	152	170
472	152	169
473	152	169
474	152	168
475	153	168
476	153	168
477	153	167
478	153	167
479	153	166
480	153	166
481	154	165
482	154	165
483	154	164
484	154	164
485	154	163
486	155	163
487	155	162
488	155	162
489	155	162
490	155	161
491	156	161
492	156	160
493	156	160
494	156	159
495	156	159
496	156	158
497	157	158
498	157	157
499	157	157
500	157	157
501	157	156
502	158	156
503	158	155
504	158	155
505	158	154
506	158	154
507	158	153
508	159	153
509	159	153
510	159	152
511	159	152
512	159	151
513	160	151
514	160	150
515	160	150
516	160	150
517	160	149
518	160	149
519	161	148
520	161	148
521	161	147
522	161	147
523	161	147
524	162	146
525	162	146
526	162	145
527	162	145
528	162	145
529	163	144
530	163	144
531	163	143
532	163	143
533	163	143
534	164	142
535	164	142
536	164	141
537	164	141
538	164	140
539	165	140
540	165	140
541	165	139
542	165	139
543	165	138
544	165	138
545	166	138
546	166	137
547	166	137
548	166	136
549	166	136
550	167	136
551	167	135
552	167	135
553	167	134
554	167	134
555	167	134
556	168	133
557	168	133
558	168	132
559	168	132
560	168	132
561	169	131
562	169	131
563	169	130
564	169	130
565	169	130
566	169	129
567	170	129
568	170	128
569	170	128
570	170	128
571	170	127
572	170	127
573	171	127
574	171	126
575	171	126
576	171	125
577	171	125
578	172	125
579	172	124
580	172	124
581	172	123
582	172	123
583	173	123
584	173	122
585	173	122
586	173	122
587	173	121
588	173	121
589	174	120
590	174	120
591	174	120
592	174	119
593	174	119
594	174	119
595	175	118
596	175	118
597	175	118
598	175	117
599	175	117
600	176	116
601	176	116
602	176	116
603	176	115
604	176	115
605	176	115
606	177	114
607	177	114
608	177	113
609	177	113
610	177	113
611	178	112
612	178	112
613	178	112
614	178	111
615	178	111
616	179	111
617	179	111
618	179	110
619	179	110
620	180	109
621	180	109
622	180	109
623	180	108
624	180	108
625	181	108
626	181	107
627	181	107
628	181	107
629	181	106
630	182	106
631	182	106
632	182	105
633	182	105
634	182	105
635	182	104
636	183	104
637	183	104
638	183	103
639	183	103
640	183	102
641	184	102
642	184	102
643	184	101
644	184	101
645	184	101
646	184	100
647	185	100
648	185	100
649	185	99
650	185	99
651	185	99
652	186	98
653	186	98
654	186	98
655	186	97
656	186	97
657	187	97
658	187	96
659	187	96
660	187	96
661	187	95
662	187	95
663	188	95
664	188	94
665	188	94
666	188	94
667	188	93
668	189	93
669	189	93
670	189	92
671	189	92
672	189	92
673	189	91
674	190	91
675	190	91
676	190	90
677	190	90
678	190	90
679	191	89
680	191	89
681	191	89
682	191	89
683	192	88
684	192	88
685	192	88
686	192	87
687	192	87
688	193	87
689	193	86
690	193	86
691	193	86
692	193	85
693	194	85
694	194	85
695	194	84
696	194	84
697	194	84
698	195	83
699	195	83
700	195	83
701	195	83
702	195	82
703	195	82
704	196	82
705	196	81
706	196	81
707	196	81
708	196	80
709	197	80
710	197	80
711	197	79
712	197	79
713	197	79
714	197	78
715	198	78
716	198	78
717	198	77
718	198	77
719	198	77
720	199	77
721	199	76
722	199	76
723	199	76
724	199	75
725	200	75
726	200	75
727	200	74
728	200	74
729	200	74
730	200	73
731	201	73
732	201	73
733	201	73
734	201	72
735	201	72
736	202	72
737	202	71
738	202	71
739	202	71
740	202	70
741	202	70
742	203	70
743	203	69
744	203	69
745	203	69
746	203	69
747	204	69
748	205	68
749	205	68
750	205	68
751	205	67
752	205	67
753	205	67
754	206	66
755	206	66
756	206	66
757	206	65
758	206	65
759	206	65
760	207	65
761	207	64
762	207	64
763	207	64
764	207	63
765	208	63
766	208	63
767	208	62
768	208	62
769	208	62
770	208	62
771	209	61
772	209	61
773	209	61
774	209	60
775	209	60
776	210	60
777	210	59
778	210	59
779	210	59
780	210	59
781	210	58
782	211	58
783	211	58
784	211	57
785	211	57
786	211	57
787	212	57
788	212	56
789	212	56
790	212	56
791	212	55
792	212	55
793	213	55
794	213	55
795	213	54
796	213	54
797	213	54
798	214	53
799	214	53
800	214	53
801	214	52
802	214	52
803	214	52
804	215	52
805	215	51
806	215	51
807	215	51
808	215	50
809	216	50
810	216	50
811	216	50
812	216	49
813	216	49
814	217	49
815	217	48
816	217	48
817	217	48
818	217	48
819	218	47
820	218	47
821	218	47
822	218	47
823	218	46
824	218	46
825	219	46
826	219	45
827	219	45
828	219	45
829	219	45
830	220	44
831	220	44
832	220	44
833	220	43
834	220	43
835	220	43
836	221	43
837	221	42
838	221	42
839	221	42
840	221	41
841	222	41
842	222	41
843	222	41
844	222	40
845	222	40
846	223	40
847	223	40
848	223	39
849	223	39
850	223	39
851	224	38
852	224	38
853	224	38
854	224	38
855	224	37
856	224	37
857	225	37
858	225	36
859	225	36
860	225	36
861	225	36
862	226	35
863	226	35
864	226	35
865	226	35
866	226	34
867	226	34
868	227	34
869	227	33
870	227	33
871	227	33
872	227	33
873	228	32
874	228	32
875	228	32
876	228	32
877	228	31
878	228	31
879	229	31
880	229	30
881	229	30
882	229	30
883	229	30
884	230	29
885	230	29
886	230	29
887	230	29
888	230	28
889	231	28
890	231	28
891	231	28
892	231	27
893	231	27
894	231	27
895	232	26
896	232	26
897	232	26
898	232	26
899	232	25
900	233	25
901	233	25
902	233	25
903	233	24
904	233	24
905	233	24
906	234	24
907	234	23
908	234	23
909	234	23
910	234	22
911	235	22
912	235	22
913	235	22
914	235	21
915	235	21
916	235	21
917	236	21
918	236	20
919	236	20
920	236	20
921	236	20
922	237	19
923	237	19
924	237	19
925	237	18
926	237	18
927	237	18
928	238	18
929	238	17
